,0,1,2,3,4,5,6,7
107,"[(2, 57.0), (3, 54.0), (5, 64.0), (6, 60.0), (8, 61.0), (10, 60.0), (11, 64.0), (12, 61.0)]","[(1, 59.0), (6, 58.0), (7, 58.0), (9, 54.0), (10, 65.0), (11, 61.0)]","[(5, 58.0), (8, 58.0)]","[(4, 58.0), (5, 58.0), (6, 63.0), (8, 57.0), (12, 60.0)]","[(1, 55.0), (2, 59.0), (4, 65.0), (5, 62.0)]","[(1, 64.0), (6, 56.0), (7, 59.0), (10, 62.0)]","[(2, 56.0), (4, 59.0), (8, 57.0), (9, 46.0)]","[(2, 60.0), (4, 51.0), (5, 52.0), (11, 48.0)]"
108,"[(2, 63.0), (3, 57.0), (5, 63.0), (6, 62.0), (8, 60.0), (10, 60.0), (11, 62.0), (12, 62.0)]","[(1, 60.0), (6, 61.0), (7, 61.0), (9, 63.0), (10, 65.0), (11, 62.0)]","[(5, 57.0), (8, 57.0)]","[(4, 57.0), (5, 57.0), (6, 62.0), (8, 57.0), (12, 60.0)]","[(1, 55.0), (2, 58.0), (4, 64.0), (5, 61.0)]","[(1, 63.0), (6, 55.0), (7, 58.0), (10, 62.0)]","[(2, 58.0), (4, 60.0), (8, 59.0), (9, 50.0)]","[(2, 61.0), (4, 52.0), (5, 53.0), (11, 51.0)]"
109,"[(2, 62.0), (3, 61.0), (5, 65.0), (6, 65.0), (8, 64.0), (10, 65.0), (11, 67.0), (12, 64.0)]","[(1, 66.0), (6, 66.0), (7, 65.0), (9, 62.0), (10, 70.0), (11, 65.0)]","[(5, 57.0), (8, 57.0)]","[(4, 57.0), (5, 57.0), (6, 62.0), (8, 57.0), (12, 60.0)]","[(1, 55.0), (2, 58.0), (4, 64.0), (5, 61.0)]","[(1, 63.0), (6, 55.0), (7, 59.0), (10, 62.0)]","[(2, 57.0), (4, 59.0), (8, 57.0), (9, 49.0)]","[(2, 60.0), (4, 51.0), (5, 51.0), (11, 48.0)]"
110,"[(2, 75.0), (3, 77.0), (5, 81.0), (6, 78.0), (8, 81.0), (10, 73.0), (11, 82.0), (12, 81.0)]","[(1, 73.0), (6, 76.0), (7, 73.0), (9, 76.0), (10, 79.0), (11, 78.0)]","[(5, 57.0), (8, 57.0)]","[(4, 57.0), (5, 58.0), (6, 62.0), (8, 56.0), (12, 59.0)]","[(1, 55.0), (2, 59.0), (4, 64.0), (5, 61.0)]","[(1, 63.0), (6, 56.0), (7, 59.0), (10, 61.0)]","[(2, 53.0), (4, 56.0), (8, 53.0), (9, 45.0)]","[(2, 57.0), (4, 48.0), (5, 48.0), (11, 43.0)]"
111,"[(2, 63.0), (3, 66.0), (5, 69.0), (6, 69.0), (8, 65.0), (10, 64.0), (11, 67.0), (12, 68.0)]","[(1, 64.0), (6, 67.0), (7, 66.0), (9, 69.0), (10, 70.0), (11, 65.0)]","[(5, 57.0), (8, 57.0)]","[(4, 58.0), (5, 58.0), (6, 63.0), (8, 57.0), (12, 61.0)]","[(1, 55.0), (2, 59.0), (4, 65.0), (5, 61.0)]","[(1, 64.0), (6, 55.0), (7, 59.0), (10, 62.0)]","[(2, 56.0), (4, 58.0), (8, 57.0), (9, 46.0)]","[(2, 59.0), (4, 50.0), (5, 52.0), (11, 48.0)]"
112,"[(2, 67.0), (3, 67.0), (5, 70.0), (6, 70.0), (8, 69.0), (10, 67.0), (11, 71.0), (12, 71.0)]","[(1, 67.0), (6, 70.0), (7, 67.0), (9, 67.0), (10, 71.0), (11, 70.0)]","[(5, 57.0), (8, 58.0)]","[(4, 58.0), (5, 58.0), (6, 63.0), (8, 57.0), (12, 61.0)]","[(1, 56.0), (2, 59.0), (4, 65.0), (5, 62.0)]","[(1, 63.0), (6, 56.0), (7, 59.0), (10, 62.0)]","[(2, 56.0), (4, 57.0), (8, 56.0), (9, 45.0)]","[(2, 58.0), (4, 50.0), (5, 52.0), (11, 47.0)]"
113,"[(2, 50.0), (3, 44.0), (5, 57.0), (6, 50.0), (8, 52.0), (10, 50.0), (11, 55.0), (12, 51.0)]","[(1, 51.0), (6, 50.0), (7, 52.0), (9, 46.0), (10, 53.0), (11, 57.0)]","[(5, 57.0), (8, 57.0)]","[(4, 57.0), (5, 57.0), (6, 62.0), (8, 57.0), (12, 59.0)]","[(1, 54.0), (2, 58.0), (4, 64.0), (5, 62.0)]","[(1, 63.0), (6, 56.0), (7, 57.0), (10, 62.0)]","[(2, 58.0), (4, 61.0), (8, 59.0), (9, 49.0)]","[(2, 61.0), (4, 53.0), (5, 54.0), (11, 50.0)]"
114,"[(2, 46.0), (3, 45.0), (5, 56.0), (6, 49.0), (8, 46.0), (10, 46.0), (11, 50.0), (12, 49.0)]","[(1, 47.0), (6, 51.0), (7, 53.0), (9, 46.0), (10, 51.0), (11, 53.0)]","[(5, 56.0), (8, 57.0)]","[(4, 55.0), (5, 55.0), (6, 61.0), (8, 56.0), (12, 58.0)]","[(1, 53.0), (2, 55.0), (4, 63.0), (5, 61.0)]","[(1, 62.0), (6, 55.0), (7, 55.0), (10, 60.0)]","[(2, 57.0), (4, 60.0), (8, 57.0), (9, 47.0)]","[(2, 61.0), (4, 52.0), (5, 53.0), (11, 48.0)]"
115,"[(2, 72.0), (3, 69.0), (5, 70.0), (6, 72.0), (8, 69.0), (10, 69.0), (11, 71.0), (12, 72.0)]","[(1, 68.0), (6, 71.0), (7, 69.0), (9, 73.0), (10, 75.0), (11, 70.0)]","[(5, 57.0), (8, 57.0)]","[(4, 58.0), (5, 57.0), (6, 62.0), (8, 56.0), (12, 60.0)]","[(1, 55.0), (2, 58.0), (4, 64.0), (5, 62.0)]","[(1, 63.0), (6, 56.0), (7, 59.0), (10, 61.0)]","[(2, 56.0), (4, 58.0), (8, 55.0), (9, 47.0)]","[(2, 58.0), (4, 50.0), (5, 50.0), (11, 45.0)]"
116,"[(2, 20.0), (3, 14.0), (5, 30.0), (6, 22.0), (8, 16.0), (10, 20.0), (11, 21.0), (12, 20.0)]","[(1, 28.0), (6, 27.0), (7, 30.0), (9, 15.0), (10, 22.0), (11, 30.0)]","[(5, 56.0), (8, 57.0)]","[(4, 54.0), (5, 54.0), (6, 60.0), (8, 56.0), (12, 58.0)]","[(1, 52.0), (2, 54.0), (4, 62.0), (5, 62.0)]","[(1, 61.0), (6, 56.0), (7, 51.0), (10, 61.0)]","[(2, 58.0), (4, 61.0), (8, 60.0), (9, 50.0)]","[(2, 61.0), (4, 52.0), (5, 55.0), (11, 52.0)]"
117,"[(2, 47.0), (3, 48.0), (5, 59.0), (6, 54.0), (8, 44.0), (10, 46.0), (11, 46.0), (12, 52.0)]","[(1, 47.0), (6, 52.0), (7, 55.0), (9, 50.0), (10, 51.0), (11, 51.0)]","[(5, 55.0), (8, 57.0)]","[(4, 54.0), (5, 53.0), (6, 60.0), (8, 54.0), (12, 56.0)]","[(1, 52.0), (2, 54.0), (4, 62.0), (5, 61.0)]","[(1, 60.0), (6, 55.0), (7, 53.0), (10, 59.0)]","[(2, 58.0), (4, 60.0), (8, 59.0), (9, 46.0)]","[(2, 61.0), (4, 51.0), (5, 55.0), (11, 51.0)]"
118,"[(2, 64.0), (3, 62.0), (5, 65.0), (6, 66.0), (8, 62.0), (10, 65.0), (11, 65.0), (12, 65.0)]","[(1, 66.0), (6, 68.0), (7, 65.0), (9, 63.0), (10, 70.0), (11, 65.0)]","[(5, 57.0), (8, 57.0)]","[(4, 57.0), (5, 57.0), (6, 62.0), (8, 56.0), (12, 60.0)]","[(1, 55.0), (2, 58.0), (4, 64.0), (5, 61.0)]","[(1, 62.0), (6, 55.0), (7, 58.0), (10, 61.0)]","[(2, 55.0), (4, 57.0), (8, 56.0), (9, 45.0)]","[(2, 58.0), (4, 50.0), (5, 51.0), (11, 45.0)]"
119,"[(2, 54.0), (3, 56.0), (5, 58.0), (6, 57.0), (8, 54.0), (10, 56.0), (11, 57.0), (12, 57.0)]","[(1, 57.0), (6, 60.0), (7, 59.0), (9, 55.0), (10, 59.0), (11, 59.0)]","[(5, 55.0), (8, 57.0)]","[(4, 55.0), (5, 55.0), (6, 61.0), (8, 55.0), (12, 57.0)]","[(1, 53.0), (2, 55.0), (4, 63.0), (5, 62.0)]","[(1, 61.0), (6, 56.0), (7, 55.0), (10, 60.0)]","[(2, 57.0), (4, 60.0), (8, 58.0), (9, 48.0)]","[(2, 60.0), (4, 52.0), (5, 53.0), (11, 48.0)]"
120,"[(2, 57.0), (3, 59.0), (5, 62.0), (6, 64.0), (8, 57.0), (10, 61.0), (11, 60.0), (12, 62.0)]","[(1, 59.0), (6, 64.0), (7, 63.0), (9, 59.0), (10, 65.0), (11, 59.0)]","[(5, 57.0), (8, 58.0)]","[(4, 58.0), (5, 58.0), (6, 63.0), (8, 57.0), (12, 61.0)]","[(1, 55.0), (2, 59.0), (4, 65.0), (5, 62.0)]","[(1, 64.0), (6, 56.0), (7, 59.0), (10, 62.0)]","[(2, 58.0), (4, 61.0), (8, 59.0), (9, 49.0)]","[(2, 61.0), (4, 53.0), (5, 55.0), (11, 50.0)]"
121,"[(2, 67.0), (3, 61.0), (5, 70.0), (6, 68.0), (8, 65.0), (10, 65.0), (11, 68.0), (12, 67.0)]","[(1, 64.0), (6, 66.0), (7, 66.0), (9, 63.0), (10, 73.0), (11, 69.0)]","[(5, 57.0), (8, 57.0)]","[(4, 57.0), (5, 57.0), (6, 62.0), (8, 56.0), (12, 60.0)]","[(1, 55.0), (2, 58.0), (4, 64.0), (5, 61.0)]","[(1, 62.0), (6, 55.0), (7, 59.0), (10, 61.0)]","[(2, 54.0), (4, 58.0), (8, 55.0), (9, 43.0)]","[(2, 58.0), (4, 49.0), (5, 52.0), (11, 46.0)]"
122,"[(2, 92.0), (3, 88.0), (5, 90.0), (6, 94.0), (8, 99.0), (10, 96.0), (11, 96.0), (12, 91.0)]","[(1, 88.0), (6, 93.0), (7, 88.0), (9, 92.0), (10, 100.0), (11, 91.0)]","[(5, 58.0), (8, 57.0)]","[(4, 59.0), (5, 59.0), (6, 62.0), (8, 56.0), (12, 61.0)]","[(1, 56.0), (2, 60.0), (4, 65.0), (5, 61.0)]","[(1, 64.0), (6, 55.0), (7, 62.0), (10, 61.0)]","[(2, 52.0), (4, 55.0), (8, 52.0), (9, 43.0)]","[(2, 55.0), (4, 47.0), (5, 46.0), (11, 40.0)]"
123,"[(2, 67.0), (3, 70.0), (5, 72.0), (6, 72.0), (8, 67.0), (10, 69.0), (11, 71.0), (12, 71.0)]","[(1, 69.0), (6, 72.0), (7, 70.0), (9, 69.0), (10, 75.0), (11, 68.0)]","[(5, 57.0), (8, 57.0)]","[(4, 57.0), (5, 57.0), (6, 62.0), (8, 57.0), (12, 60.0)]","[(1, 55.0), (2, 58.0), (4, 64.0), (5, 61.0)]","[(1, 63.0), (6, 55.0), (7, 59.0), (10, 61.0)]","[(2, 55.0), (4, 58.0), (8, 55.0), (9, 45.0)]","[(2, 59.0), (4, 50.0), (5, 51.0), (11, 46.0)]"
124,"[(2, 61.0), (3, 64.0), (5, 67.0), (6, 64.0), (8, 62.0), (10, 61.0), (11, 68.0), (12, 65.0)]","[(1, 62.0), (6, 65.0), (7, 63.0), (9, 63.0), (10, 65.0), (11, 67.0)]","[(5, 57.0), (8, 57.0)]","[(4, 57.0), (5, 57.0), (6, 62.0), (8, 56.0), (12, 60.0)]","[(1, 54.0), (2, 58.0), (4, 64.0), (5, 61.0)]","[(1, 63.0), (6, 55.0), (7, 58.0), (10, 61.0)]","[(2, 58.0), (4, 60.0), (8, 58.0), (9, 50.0)]","[(2, 60.0), (4, 53.0), (5, 53.0), (11, 49.0)]"
125,"[(2, 71.0), (3, 68.0), (5, 74.0), (6, 72.0), (8, 70.0), (10, 70.0), (11, 72.0), (12, 74.0)]","[(1, 67.0), (6, 72.0), (7, 69.0), (9, 71.0), (10, 76.0), (11, 72.0)]","[(5, 57.0), (8, 57.0)]","[(4, 58.0), (5, 57.0), (6, 62.0), (8, 57.0), (12, 60.0)]","[(1, 55.0), (2, 58.0), (4, 64.0), (5, 61.0)]","[(1, 63.0), (6, 55.0), (7, 59.0), (10, 61.0)]","[(2, 54.0), (4, 56.0), (8, 54.0), (9, 45.0)]","[(2, 57.0), (4, 49.0), (5, 49.0), (11, 44.0)]"
126,"[(2, 64.0), (3, 66.0), (5, 70.0), (6, 68.0), (8, 64.0), (10, 67.0), (11, 68.0), (12, 67.0)]","[(1, 66.0), (6, 68.0), (7, 67.0), (9, 67.0), (10, 70.0), (11, 67.0)]","[(5, 58.0), (8, 58.0)]","[(4, 58.0), (5, 58.0), (6, 63.0), (8, 57.0), (12, 61.0)]","[(1, 55.0), (2, 59.0), (4, 65.0), (5, 62.0)]","[(1, 63.0), (6, 56.0), (7, 59.0), (10, 62.0)]","[(2, 59.0), (4, 61.0), (8, 60.0), (9, 50.0)]","[(2, 62.0), (4, 53.0), (5, 54.0), (11, 51.0)]"
127,"[(2, 53.0), (3, 46.0), (5, 56.0), (6, 52.0), (8, 46.0), (10, 47.0), (11, 51.0), (12, 52.0)]","[(1, 50.0), (6, 52.0), (7, 54.0), (9, 48.0), (10, 51.0), (11, 55.0)]","[(5, 57.0), (8, 58.0)]","[(4, 57.0), (5, 57.0), (6, 62.0), (8, 57.0), (12, 60.0)]","[(1, 55.0), (2, 59.0), (4, 65.0), (5, 62.0)]","[(1, 64.0), (6, 56.0), (7, 58.0), (10, 62.0)]","[(2, 56.0), (4, 59.0), (8, 57.0), (9, 46.0)]","[(2, 60.0), (4, 51.0), (5, 53.0), (11, 48.0)]"
128,"[(2, 53.0), (3, 52.0), (5, 60.0), (6, 58.0), (8, 52.0), (10, 54.0), (11, 54.0), (12, 57.0)]","[(1, 54.0), (6, 57.0), (7, 58.0), (9, 54.0), (10, 60.0), (11, 55.0)]","[(5, 56.0), (8, 57.0)]","[(4, 57.0), (5, 56.0), (6, 62.0), (8, 57.0), (12, 60.0)]","[(1, 54.0), (2, 58.0), (4, 64.0), (5, 61.0)]","[(1, 62.0), (6, 55.0), (7, 57.0), (10, 62.0)]","[(2, 58.0), (4, 60.0), (8, 59.0), (9, 50.0)]","[(2, 61.0), (4, 52.0), (5, 54.0), (11, 52.0)]"
129,"[(2, 87.0), (3, 81.0), (5, 87.0), (6, 86.0), (8, 91.0), (10, 87.0), (11, 92.0), (12, 86.0)]","[(1, 81.0), (6, 85.0), (7, 82.0), (9, 86.0), (10, 92.0), (11, 89.0)]","[(5, 58.0), (8, 56.0)]","[(4, 58.0), (5, 58.0), (6, 62.0), (8, 57.0), (12, 60.0)]","[(1, 56.0), (2, 60.0), (4, 64.0), (5, 61.0)]","[(1, 63.0), (6, 55.0), (7, 61.0), (10, 61.0)]","[(2, 57.0), (4, 58.0), (8, 56.0), (9, 49.0)]","[(2, 59.0), (4, 51.0), (5, 49.0), (11, 46.0)]"
130,"[(2, 36.0), (3, 23.0), (5, 43.0), (6, 31.0), (8, 33.0), (10, 34.0), (11, 37.0), (12, 30.0)]","[(1, 38.0), (6, 33.0), (7, 42.0), (9, 27.0), (10, 37.0), (11, 44.0)]","[(5, 56.0), (8, 57.0)]","[(4, 55.0), (5, 55.0), (6, 61.0), (8, 56.0), (12, 57.0)]","[(1, 52.0), (2, 55.0), (4, 62.0), (5, 62.0)]","[(1, 62.0), (6, 56.0), (7, 53.0), (10, 61.0)]","[(2, 54.0), (4, 57.0), (8, 55.0), (9, 45.0)]","[(2, 58.0), (4, 49.0), (5, 51.0), (11, 47.0)]"
131,"[(2, 30.0), (3, 26.0), (5, 40.0), (6, 32.0), (8, 24.0), (10, 27.0), (11, 29.0), (12, 30.0)]","[(1, 33.0), (6, 36.0), (7, 39.0), (9, 25.0), (10, 30.0), (11, 37.0)]","[(5, 56.0), (8, 58.0)]","[(4, 56.0), (5, 55.0), (6, 62.0), (8, 57.0), (12, 59.0)]","[(1, 53.0), (2, 56.0), (4, 64.0), (5, 62.0)]","[(1, 63.0), (6, 56.0), (7, 54.0), (10, 62.0)]","[(2, 56.0), (4, 58.0), (8, 58.0), (9, 45.0)]","[(2, 59.0), (4, 50.0), (5, 54.0), (11, 50.0)]"
132,"[(2, 61.0), (3, 62.0), (5, 66.0), (6, 66.0), (8, 60.0), (10, 64.0), (11, 64.0), (12, 65.0)]","[(1, 63.0), (6, 65.0), (7, 65.0), (9, 61.0), (10, 69.0), (11, 63.0)]","[(5, 57.0), (8, 58.0)]","[(4, 58.0), (5, 58.0), (6, 63.0), (8, 57.0), (12, 60.0)]","[(1, 55.0), (2, 59.0), (4, 65.0), (5, 62.0)]","[(1, 63.0), (6, 56.0), (7, 59.0), (10, 62.0)]","[(2, 55.0), (4, 57.0), (8, 56.0), (9, 44.0)]","[(2, 58.0), (4, 50.0), (5, 52.0), (11, 47.0)]"
133,"[(2, 45.0), (3, 39.0), (5, 50.0), (6, 43.0), (8, 41.0), (10, 43.0), (11, 46.0), (12, 43.0)]","[(1, 47.0), (6, 46.0), (7, 50.0), (9, 41.0), (10, 46.0), (11, 51.0)]","[(5, 57.0), (8, 58.0)]","[(4, 56.0), (5, 56.0), (6, 62.0), (8, 57.0), (12, 59.0)]","[(1, 53.0), (2, 57.0), (4, 64.0), (5, 62.0)]","[(1, 63.0), (6, 56.0), (7, 56.0), (10, 62.0)]","[(2, 58.0), (4, 61.0), (8, 59.0), (9, 49.0)]","[(2, 61.0), (4, 53.0), (5, 54.0), (11, 50.0)]"
134,"[(2, 55.0), (3, 50.0), (5, 59.0), (6, 57.0), (8, 53.0), (10, 55.0), (11, 56.0), (12, 56.0)]","[(1, 55.0), (6, 59.0), (7, 59.0), (9, 54.0), (10, 61.0), (11, 59.0)]","[(5, 56.0), (8, 57.0)]","[(4, 56.0), (5, 55.0), (6, 61.0), (8, 56.0), (12, 58.0)]","[(1, 53.0), (2, 56.0), (4, 63.0), (5, 61.0)]","[(1, 62.0), (6, 55.0), (7, 56.0), (10, 60.0)]","[(2, 56.0), (4, 60.0), (8, 57.0), (9, 47.0)]","[(2, 60.0), (4, 51.0), (5, 52.0), (11, 47.0)]"
135,"[(2, 72.0), (3, 70.0), (5, 73.0), (6, 74.0), (8, 70.0), (10, 70.0), (11, 73.0), (12, 73.0)]","[(1, 70.0), (6, 73.0), (7, 71.0), (9, 72.0), (10, 77.0), (11, 72.0)]","[(5, 57.0), (8, 57.0)]","[(4, 58.0), (5, 57.0), (6, 62.0), (8, 56.0), (12, 60.0)]","[(1, 55.0), (2, 58.0), (4, 64.0), (5, 62.0)]","[(1, 63.0), (6, 56.0), (7, 59.0), (10, 61.0)]","[(2, 56.0), (4, 58.0), (8, 55.0), (9, 47.0)]","[(2, 59.0), (4, 50.0), (5, 50.0), (11, 45.0)]"
136,"[(2, 59.0), (3, 56.0), (5, 64.0), (6, 63.0), (8, 56.0), (10, 57.0), (11, 59.0), (12, 62.0)]","[(1, 58.0), (6, 62.0), (7, 61.0), (9, 56.0), (10, 64.0), (11, 61.0)]","[(5, 57.0), (8, 57.0)]","[(4, 57.0), (5, 57.0), (6, 62.0), (8, 56.0), (12, 60.0)]","[(1, 54.0), (2, 58.0), (4, 64.0), (5, 62.0)]","[(1, 63.0), (6, 56.0), (7, 57.0), (10, 61.0)]","[(2, 58.0), (4, 60.0), (8, 58.0), (9, 49.0)]","[(2, 60.0), (4, 52.0), (5, 53.0), (11, 49.0)]"
137,"[(2, 53.0), (3, 50.0), (5, 62.0), (6, 56.0), (8, 50.0), (10, 53.0), (11, 56.0), (12, 55.0)]","[(1, 54.0), (6, 55.0), (7, 58.0), (9, 54.0), (10, 58.0), (11, 59.0)]","[(5, 55.0), (8, 57.0)]","[(4, 54.0), (5, 54.0), (6, 61.0), (8, 55.0), (12, 57.0)]","[(1, 52.0), (2, 55.0), (4, 62.0), (5, 62.0)]","[(1, 61.0), (6, 55.0), (7, 54.0), (10, 60.0)]","[(2, 57.0), (4, 60.0), (8, 59.0), (9, 46.0)]","[(2, 61.0), (4, 51.0), (5, 55.0), (11, 50.0)]"
138,"[(2, 44.0), (3, 34.0), (5, 51.0), (6, 40.0), (8, 39.0), (10, 41.0), (11, 42.0), (12, 39.0)]","[(1, 44.0), (6, 43.0), (7, 48.0), (9, 33.0), (10, 44.0), (11, 50.0)]","[(5, 56.0), (8, 57.0)]","[(4, 56.0), (5, 55.0), (6, 61.0), (8, 57.0), (12, 59.0)]","[(1, 53.0), (2, 57.0), (4, 63.0), (5, 61.0)]","[(1, 62.0), (6, 55.0), (7, 55.0), (10, 61.0)]","[(2, 56.0), (4, 58.0), (8, 57.0), (9, 45.0)]","[(2, 58.0), (4, 50.0), (5, 53.0), (11, 47.0)]"
139,"[(2, 36.0), (3, 33.0), (5, 44.0), (6, 39.0), (8, 30.0), (10, 38.0), (11, 34.0), (12, 37.0)]","[(1, 39.0), (6, 42.0), (7, 48.0), (9, 34.0), (10, 38.0), (11, 44.0)]","[(5, 54.0), (8, 57.0)]","[(4, 54.0), (5, 53.0), (6, 60.0), (8, 55.0), (12, 56.0)]","[(1, 51.0), (2, 53.0), (4, 62.0), (5, 62.0)]","[(1, 60.0), (6, 55.0), (7, 52.0), (10, 59.0)]","[(2, 57.0), (4, 61.0), (8, 59.0), (9, 48.0)]","[(2, 60.0), (4, 52.0), (5, 54.0), (11, 49.0)]"
140,"[(2, 68.0), (3, 76.0), (5, 72.0), (6, 76.0), (8, 72.0), (10, 70.0), (11, 74.0), (12, 76.0)]","[(1, 72.0), (6, 76.0), (7, 70.0), (9, 75.0), (10, 76.0), (11, 68.0)]","[(5, 58.0), (8, 57.0)]","[(4, 59.0), (5, 58.0), (6, 63.0), (8, 57.0), (12, 61.0)]","[(1, 55.0), (2, 60.0), (4, 65.0), (5, 61.0)]","[(1, 64.0), (6, 56.0), (7, 60.0), (10, 62.0)]","[(2, 58.0), (4, 61.0), (8, 59.0), (9, 49.0)]","[(2, 61.0), (4, 53.0), (5, 54.0), (11, 50.0)]"
141,"[(2, 48.0), (3, 46.0), (5, 57.0), (6, 53.0), (8, 50.0), (10, 53.0), (11, 52.0), (12, 50.0)]","[(1, 54.0), (6, 53.0), (7, 56.0), (9, 44.0), (10, 56.0), (11, 53.0)]","[(5, 56.0), (8, 57.0)]","[(4, 56.0), (5, 56.0), (6, 61.0), (8, 56.0), (12, 59.0)]","[(1, 54.0), (2, 57.0), (4, 64.0), (5, 61.0)]","[(1, 62.0), (6, 55.0), (7, 57.0), (10, 61.0)]","[(2, 55.0), (4, 58.0), (8, 56.0), (9, 43.0)]","[(2, 58.0), (4, 49.0), (5, 53.0), (11, 47.0)]"
142,"[(2, 42.0), (3, 42.0), (5, 52.0), (6, 47.0), (8, 41.0), (10, 43.0), (11, 45.0), (12, 46.0)]","[(1, 44.0), (6, 47.0), (7, 50.0), (9, 42.0), (10, 47.0), (11, 47.0)]","[(5, 57.0), (8, 58.0)]","[(4, 57.0), (5, 56.0), (6, 62.0), (8, 57.0), (12, 59.0)]","[(1, 54.0), (2, 57.0), (4, 64.0), (5, 62.0)]","[(1, 63.0), (6, 56.0), (7, 56.0), (10, 61.0)]","[(2, 54.0), (4, 57.0), (8, 55.0), (9, 43.0)]","[(2, 57.0), (4, 47.0), (5, 51.0), (11, 44.0)]"
143,"[(2, 61.0), (3, 62.0), (5, 66.0), (6, 65.0), (8, 62.0), (10, 64.0), (11, 64.0), (12, 64.0)]","[(1, 65.0), (6, 67.0), (7, 65.0), (9, 62.0), (10, 68.0), (11, 64.0)]","[(5, 57.0), (8, 57.0)]","[(4, 57.0), (5, 57.0), (6, 62.0), (8, 57.0), (12, 60.0)]","[(1, 55.0), (2, 58.0), (4, 64.0), (5, 61.0)]","[(1, 63.0), (6, 55.0), (7, 58.0), (10, 61.0)]","[(2, 55.0), (4, 58.0), (8, 56.0), (9, 45.0)]","[(2, 59.0), (4, 50.0), (5, 51.0), (11, 47.0)]"
144,"[(2, 60.0), (3, 61.0), (5, 67.0), (6, 67.0), (8, 60.0), (10, 64.0), (11, 64.0), (12, 65.0)]","[(1, 62.0), (6, 68.0), (7, 68.0), (9, 61.0), (10, 69.0), (11, 64.0)]","[(5, 57.0), (8, 57.0)]","[(4, 57.0), (5, 56.0), (6, 62.0), (8, 56.0), (12, 60.0)]","[(1, 54.0), (2, 58.0), (4, 64.0), (5, 61.0)]","[(1, 62.0), (6, 55.0), (7, 58.0), (10, 61.0)]","[(2, 58.0), (4, 60.0), (8, 58.0), (9, 50.0)]","[(2, 60.0), (4, 53.0), (5, 52.0), (11, 49.0)]"
145,"[(2, 56.0), (3, 56.0), (5, 63.0), (6, 60.0), (8, 56.0), (10, 57.0), (11, 61.0), (12, 59.0)]","[(1, 58.0), (6, 59.0), (7, 60.0), (9, 56.0), (10, 60.0), (11, 60.0)]","[(5, 57.0), (8, 57.0)]","[(4, 57.0), (5, 57.0), (6, 62.0), (8, 57.0), (12, 60.0)]","[(1, 55.0), (2, 58.0), (4, 64.0), (5, 61.0)]","[(1, 63.0), (6, 56.0), (7, 58.0), (10, 61.0)]","[(2, 55.0), (4, 57.0), (8, 55.0), (9, 45.0)]","[(2, 58.0), (4, 49.0), (5, 50.0), (11, 46.0)]"
146,"[(2, 37.0), (3, 31.0), (5, 46.0), (6, 36.0), (8, 34.0), (10, 37.0), (11, 40.0), (12, 35.0)]","[(1, 42.0), (6, 39.0), (7, 44.0), (9, 33.0), (10, 40.0), (11, 46.0)]","[(5, 57.0), (8, 58.0)]","[(4, 57.0), (5, 56.0), (6, 62.0), (8, 57.0), (12, 60.0)]","[(1, 54.0), (2, 57.0), (4, 64.0), (5, 62.0)]","[(1, 63.0), (6, 57.0), (7, 55.0), (10, 62.0)]","[(2, 59.0), (4, 62.0), (8, 61.0), (9, 50.0)]","[(2, 63.0), (4, 54.0), (5, 56.0), (11, 53.0)]"
147,"[(2, 14.0), (3, 9.0), (5, 28.0), (6, 15.0), (8, 10.0), (10, 12.0), (11, 16.0), (12, 14.0)]","[(1, 18.0), (6, 20.0), (7, 28.0), (9, 10.0), (10, 14.0), (11, 27.0)]","[(5, 56.0), (8, 58.0)]","[(4, 55.0), (5, 55.0), (6, 61.0), (8, 57.0), (12, 59.0)]","[(1, 53.0), (2, 56.0), (4, 63.0), (5, 62.0)]","[(1, 63.0), (6, 56.0), (7, 52.0), (10, 62.0)]","[(2, 56.0), (4, 60.0), (8, 59.0), (9, 46.0)]","[(2, 60.0), (4, 51.0), (5, 55.0), (11, 50.0)]"
148,"[(2, 25.0), (3, 17.0), (5, 40.0), (6, 26.0), (8, 18.0), (10, 23.0), (11, 25.0), (12, 23.0)]","[(1, 28.0), (6, 29.0), (7, 37.0), (9, 15.0), (10, 27.0), (11, 35.0)]","[(5, 55.0), (8, 57.0)]","[(4, 55.0), (5, 54.0), (6, 61.0), (8, 57.0), (12, 59.0)]","[(1, 53.0), (2, 55.0), (4, 63.0), (5, 62.0)]","[(1, 62.0), (6, 55.0), (7, 53.0), (10, 61.0)]","[(2, 59.0), (4, 60.0), (8, 60.0), (9, 50.0)]","[(2, 62.0), (4, 52.0), (5, 56.0), (11, 54.0)]"
149,"[(2, 54.0), (3, 50.0), (5, 61.0), (6, 54.0), (8, 56.0), (10, 54.0), (11, 59.0), (12, 54.0)]","[(1, 55.0), (6, 56.0), (7, 57.0), (9, 51.0), (10, 58.0), (11, 60.0)]","[(5, 57.0), (8, 57.0)]","[(4, 57.0), (5, 57.0), (6, 62.0), (8, 57.0), (12, 60.0)]","[(1, 55.0), (2, 58.0), (4, 64.0), (5, 61.0)]","[(1, 63.0), (6, 56.0), (7, 57.0), (10, 62.0)]","[(2, 58.0), (4, 59.0), (8, 58.0), (9, 49.0)]","[(2, 60.0), (4, 52.0), (5, 52.0), (11, 49.0)]"
